PassengerId,Name,HomePlanet,Cabin,Age,Transported
0001_01,Maham Ofracculy,Europa,B/0/P,39.0,False
0002_01,Juanna Vines,Earth,F/0/S,24.0,True
0003_01,Altark Susent,Europa,A/0/S,58.0,False
0003_02,Solam Susent,Europa,A/0/S,33.0,False
0004_01,Willy Santantines,Earth,F/1/S,16.0,True
0005_01,Sandie Hinetthews,Earth,F/0/P,44.0,True
0006_01,Billex Jacostaffey,Earth,F/2/S,26.0,True
0006_02,Candra Jacostaffey,Earth,G/0/S,28.0,True
0007_01,Andona Beston,Earth,F/3/S,35.0,True
0008_01,Erraiam Flatic,Europa,B/1/P,14.0,True
0008_02,Altardr Flatic,Europa,B/1/P,34.0,True
0008_03,Wezena Flatic,Europa,B/1/P,45.0,True
0009_01,Berers Barne,Mars,F/1/P,32.0,True
0010_01,Reney Baketton,Earth,G/1/S,48.0,False
0011_01,Elle Bertsontry,Earth,F/2/P,28.0,True
0012_01,Justie Pooles,Earth,,31.0,False
0014_01,Flats Eccle,Mars,F/3/P,27.0,False
0015_01,Carry Hughriend,Earth,F/4/P,24.0,False
0016_01,Alus Upead,Mars,F/5/P,45.0,True
0017_01,Lyde Brighttt,Earth,G/0/P,0.0,True
0017_02,Philda Brighttt,Earth,F/6/P,14.0,False
0020_01,Almary Brantuarez,Earth,E/0/S,1.0,False
0020_02,Glendy Brantuarez,Earth,E/0/S,49.0,False
0020_03,Mollen Mcfaddennon,Earth,E/0/S,29.0,False
0020_04,Breney Jacostanley,Earth,E/0/S,10.0,True
0020_05,Mael Brantuarez,Earth,E/0/S,1.0,False
0020_06,Terta Mcfaddennon,Earth,E/0/S,7.0,False
0022_01,,Mars,D/0/P,21.0,False
0024_01,Penton Fullided,Europa,C/2/S,62.0,True
0025_01,Karard Brookenson,Earth,F/6/S,15.0,False
0026_01,Anyoni Unconary,Europa,C/0/P,34.0,False
0028_01,Ceros Mare,Mars,F/8/P,43.0,False
0030_01,Ginia Morsentley,Earth,G/4/S,32.0,False
0031_01,Coobix Datie,Mars,F/9/P,47.0,True
0031_02,Cinets Datie,Mars,F/9/P,2.0,True
0031_03,Dontch Datie,Mars,F/9/P,20.0,True
0034_01,Ziba Oingwhedly,Europa,D/1/S,28.0,True
0035_01,Luse Butte,Mars,D/1/P,23.0,False
0036_01,Marina Leodger,Earth,F/8/S,15.0,False
0038_01,Loise Wheelez,Earth,F/10/S,20.0,False
0039_01,Jorgie Batthewitt,Earth,G/1/P,30.0,False
0041_01,Margia Moodsey,Earth,G/2/P,17.0,True
0043_01,Ankalik Cylistrand,Europa,B/3/P,45.0,False
0044_01,Jodye Coopelandez,Earth,G/3/P,55.0,False
0044_02,Kayne Coopelandez,Earth,G/3/P,4.0,True
0044_03,Cassa Coopelandez,Earth,G/3/P,21.0,True
0045_01,Zelowl Chmad,Mars,F/10/P,21.0,False
0045_02,Mass Chmad,Mars,F/10/P,19.0,True
0050_01,Sony Lancis,Earth,E/1/S,35.0,False
0051_01,Vivia Johnshines,Earth,E/2/S,56.0,False
0052_01,Elaney Hubbarton,Earth,G/6/S,,False
0053_01,Elson Hickerson,Earth,F/11/S,25.0,True
0056_01,Okulas Tractive,Europa,A/1/S,2.0,True
0056_02,Instab Tractive,Europa,A/1/S,38.0,True
0056_03,Zinoces Tractive,Europa,A/1/S,27.0,True
0058_01,Warry Ayalazquez,Earth,G/7/S,36.0,False
0061_01,Shanya Salez,Earth,F/12/S,22.0,False
0062_01,Sterry Greeves,Earth,F/13/S,62.0,False
0064_01,,Mars,F/14/S,15.0,True
0064_02,Colatz Keen,,E/3/S,33.0,True
0066_01,Diandy Pecketton,Earth,G/6/P,62.0,False
0067_01,Ninaha Leeves,Earth,G/10/S,0.0,True
0067_02,Celine Leeves,Earth,G/10/S,18.0,True
0067_03,Velyne Leeves,Earth,F/15/S,21.0,False
0068_01,Cinst Binie,Mars,E/4/S,,False
0069_01,,Earth,F/16/S,42.0,True
0070_01,Meremy Brighttt,Earth,F/13/P,19.0,False
0071_01,Nelly Dillines,Earth,F/14/P,17.0,False
0072_01,Thell Brantuarez,Earth,F/17/S,14.0,False
0073_01,Gorn Make,Mars,D/3/P,37.0,False
0074_01,Aldibah Mostedry,Europa,C/3/S,42.0,True
0076_01,Conk Dal,Mars,F/18/S,27.0,True
0077_01,Pon Blité,Mars,F/15/P,28.0,True
0078_01,Spuri Pokerheed,Europa,C/4/S,38.0,False
0081_01,Dellie Vinozarks,Earth,G/13/S,13.0,False
0082_01,Totse Datte,Mars,F/16/P,42.0,False
0082_02,Eaturs Datte,Mars,F/16/P,2.0,True
0082_03,,Mars,F/16/P,8.0,True
0084_01,Coren Coopezmaney,Earth,G/14/S,24.0,True
0085_01,Furudah Ellcefulve,Europa,C/5/S,40.0,True
0086_01,Jodye Kinson,Earth,F/17/P,43.0,False
0088_01,Stmeal Sacre,Mars,E/5/S,45.0,True
0090_01,Heremy Santry,Earth,G/15/S,35.0,True
0091_01,Deanne Yorkland,Earth,G/16/S,26.0,True
0091_02,Tinez Yorkland,Earth,F/20/S,27.0,False
0092_01,Gracy Dunnisey,Earth,G/9/P,19.0,False
0092_02,Stald Hewson,Earth,G/9/P,0.0,True
0092_03,Tiney Hewson,Earth,G/9/P,3.0,True
0097_01,Alchium Fictful,Europa,A/2/S,54.0,False
0098_01,Doria Carezquez,Earth,G/11/P,26.0,False
0098_02,Leence Carezquez,Earth,G/11/P,26.0,True
0099_01,Aliey Leetersoney,Earth,F/19/P,23.0,False
0099_02,Thewis Connelson,Earth,G/12/P,2.0,True
0101_01,Book Trad,Mars,,31.0,True
0102_01,Ritany Holson,Earth,F/23/S,18.0,False
0103_01,Arlen Mclainez,Earth,F/24/S,24.0,True
0103_02,Shaele Mclainez,Earth,G/18/S,9.0,True
0103_03,Fanne Mclainez,Earth,G/18/S,6.0,False
0105_01,Carry Cleachrand,Earth,F/21/P,27.0,False
0107_01,Coobix Hart,Mars,D/2/S,21.0,False
0108_01,Natald Handertiz,Earth,G/19/S,23.0,False
0108_02,,Earth,G/19/S,31.0,False
0108_03,Oline Handertiz,Earth,G/19/S,0.0,True
0110_01,Graviph Aloubtled,Europa,,32.0,False
0110_02,Aldeba Bootious,Europa,B/5/P,40.0,False
0110_03,Alaratz Aloubtled,Europa,B/5/P,42.0,True
0110_04,Izark Aloubtled,Europa,B/5/P,28.0,True
0111_01,Aldera Supred,Europa,E/6/S,29.0,True
0112_01,Moth Cowtale,Europa,B/1/S,48.0,True
0113_01,Idary Carvis,Earth,F/23/P,64.0,True
0114_01,Maura Beckerson,Earth,G/20/S,27.0,False
0115_01,Rohs Pead,Mars,F/24/P,26.0,True
0116_01,Alhenah Suptive,Europa,D/4/P,33.0,True
0119_01,Batan Coning,,A/0/P,39.0,False
0119_02,Kleeiak Coning,Europa,A/0/P,13.0,True
0120_01,Bees Sacre,Mars,F/25/P,24.0,True
0122_01,Shelle Hayder,Earth,G/21/S,29.0,False
0123_01,Iree Fielson,Earth,F/27/P,18.0,False
0126_01,Milly Mish,Mars,F/27/S,67.0,True
0127_01,Miloss Mesty,Mars,E/7/S,35.0,False
0128_01,Grohs Fles,Mars,D/3/S,61.0,False
0128_02,Barave Fles,Mars,E/8/S,45.0,False
0129_01,Race Fowles,Earth,G/22/S,22.0,True
0133_01,Flynx Blie,Mars,F/29/S,19.0,True
0133_02,Egrasp Blie,Mars,D/5/S,36.0,False
0134_01,Camina Harmontry,Earth,G/17/P,19.0,True
0136_01,,Earth,G/23/S,47.0,False
0138_01,Fayene Gambs,Earth,G/18/P,13.0,True
0138_02,Monah Gambs,Earth,E/5/P,34.0,False
0139_01,Charda Myling,Europa,C/6/S,35.0,True
0140_01,Evaley Mejiaddox,Earth,G/19/P,24.0,True
0140_02,Verney Whitakers,Earth,F/29/P,26.0,False
0141_01,Pyrohs Harte,Mars,F/30/P,31.0,False
0144_01,Guadae Dayers,Earth,F/31/S,20.0,True
0146_01,Verly Wolferguson,Earth,G/25/S,56.0,False
0147_01,Samie Hubbarrison,Earth,G/26/S,50.0,True
0148_01,Corsh Pashe,Mars,F/31/P,42.0,False
0149_01,Billya Hubbarrison,Earth,G/27/S,,True
0151_01,Shanie Simson,Earth,G/20/P,38.0,False
0152_01,Andan Estron,Earth,F/32/P,41.0,False
0160_01,Gory Atkinney,Earth,G/22/P,22.0,False
0163_01,Kabiton Hetforhaft,Europa,B/8/P,26.0,True
0163_02,Scharab Hetforhaft,Europa,B/8/P,17.0,True
0164_01,Fany Hutchinton,Earth,G/28/S,57.0,True
0164_02,Ianya Hutchinton,Earth,G/28/S,17.0,False
0165_01,Graven Anche,Mars,F/37/P,35.0,True
0167_01,Miten Floaf,Mars,F/35/S,13.0,True
0167_02,Rios Floaf,Mars,F/35/S,27.0,False
0169_01,Wandy Fisherry,Earth,G/23/P,31.0,False
0170_01,Mollie Mcmahoney,Earth,E/10/S,24.0,False
0171_01,Coracy Gordanieves,Earth,G/30/S,19.0,True
0172_01,Hanna Johnshines,Earth,G/24/P,32.0,True
0173_01,Hilip Grifford,Earth,E/11/S,58.0,True
0174_01,Doryn Lambles,Earth,F/38/P,21.0,False
0177_01,Toperon Iniouser,Europa,B/2/S,38.0,False
0178_01,Wees Knik,Mars,D/6/S,38.0,False
0179_01,Elaney Webstephrey,Earth,G/26/P,19.0,True
0179_02,Raque Webstephrey,Earth,G/26/P,0.0,False
0179_03,Sallyl Webstephrey,Earth,G/26/P,3.0,True
0181_01,Nancis Brighttt,Earth,G/27/P,20.0,False
0182_01,Ksorab Disight,Europa,C/3/P,24.0,True
0183_01,Stany Weaves,Earth,F/36/S,37.0,True
0186_01,Camiet Shephendry,Earth,G/28/P,25.0,False
0188_01,Branda Romez,Earth,G/31/S,56.0,True
0189_01,Helly Booters,Earth,E/8/P,49.0,False
0190_01,,Earth,G/32/S,11.0,False
0192_01,Tance Adavisons,Earth,G/29/P,1.0,True
0192_02,Robyny Adavisons,Earth,G/29/P,8.0,False
0192_03,Lilace Adavisons,Earth,G/29/P,39.0,False
0193_01,Sps Raf,Mars,F/41/P,2.0,True
0193_02,Frook Raf,Mars,F/41/P,23.0,False
0193_03,Goles Raf,Mars,F/41/P,0.0,True
0195_01,Bar Floaf,Mars,F/42/P,39.0,True
0196_01,Caper Emead,Mars,D/5/P,25.0,False
0197_01,Astrak Dissper,Europa,C/5/P,36.0,False
0198_01,Jeroy Cookson,Earth,G/30/P,52.0,True
0199_01,Regana Morrows,Earth,G/33/S,18.0,False
0200_01,Elia Colomonson,Earth,G/31/P,15.0,True
0201_01,Kaffias Bacistion,Europa,B/3/S,35.0,True
0201_02,Edaruma Bacistion,Europa,B/3/S,47.0,True
0202_01,Pomera Embleng,Europa,B/9/P,45.0,True
0202_02,Vegas Embleng,Europa,A/2/P,,True
0203_01,Ancham Heateele,Europa,C/8/S,51.0,True
0205_01,Carma Oneiles,Earth,G/34/S,29.0,False
0206_01,Nuson Brugashed,Europa,C/9/S,,True
0207_01,Thony Mcfaddennon,Earth,G/32/P,19.0,False
0210_01,Arraid Inicont,,D/6/P,24.0,True
0211_01,Pebuts Appie,Mars,F/44/P,29.0,True
0211_02,Corsh Appie,Mars,F/44/P,11.0,True
0211_03,Picers Date,Mars,F/44/P,17.0,False
0212_01,Inen Workmans,Earth,E/9/P,13.0,False
0212_02,Shally Workmans,Earth,F/45/P,35.0,False
0213_01,Carita Navages,Earth,F/46/P,21.0,False
0216_01,Searla Garnes,Earth,F/40/S,21.0,False
0217_01,Prilly Shieldson,Earth,F/47/P,38.0,False
0219_01,Nica River,Earth,G/36/P,19.0,True
